HQURT_NAME,CMDLT_NAME,HSCD,HSCD_CN,REG_DT,REGL_CN,ISO_WD2_NAT_CD,REGL_STR_DE,REGL_END_DE,PROBE_TGT_NAT_NAME
아프리카지역본부,"(폭 600mm이상의 혹은 두께 0.45mm 이하로 아연도금된) 철 또는 비합금강의 평판압연제품(other flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, otherwise plated or coated with zinc (galvanised steel coil) of a thickness of less than 0,45 mm",721049,72104910,2023-05-19,반덤핑(조사중),ZA,20230317,20230916,중국
아프리카지역본부,거울(Unframed mirrors),700991,700991,2023-05-19,반덤핑(규제중),ZA,20130726,20231221,중국
아프리카지역본부,계육(Chicken meat portions),020714,020714,2023-05-19,반덤핑(규제중),ZA,20001227,20231123,미국
아프리카지역본부,"고무의 새로운 공압 타이어
자동차 및 버스 또는 트럭에 사용되는 종류(new pneumatic tyres of rubber of a
kind used on motor carsand and on buses or lorries)",401110,"40111001,40111003,40111005,40111007,4011100,40112016,40112018,40112026",2023-05-19,반덤핑(조사중),ZA,20220909,20230308,중국
아프리카지역본부,"고무의 새로운 공압 타이어
자동차 및 버스 또는 트럭에 사용되는 종류(new pneumatic tyres of rubber of a
kind used on motor carsand and on buses or lorries)",401120,"40111001,40111003,40111005,40111007,4011100,40112016,40112018,40112026",2023-05-19,반덤핑(조사중),ZA,20220909,20230308,중국
아프리카지역본부,고체 PVC (PVC rigid),392049,392049,2023-05-19,반덤핑(규제중),ZA,20080425,20231214,"중국, 대만"
아프리카지역본부,냉동감자칩(Frozen potato chips),200410,"2004102,20041029",2023-05-19,반덤핑(조사중),ZA,20220715,20230114,"벨기에, 네덜란드, 독일"
아프리카지역본부,냉동계육(Frozen bone-in chicken portions),020714,02071490,2023-05-19,반덤핑(규제중),ZA,20150227,20260615,"독일, 네덜란드, 영국"
아프리카지역본부,와이어로프(Wire ropes),731210,"73121017,73121024,73121030,73121090",2023-05-19,반덤핑(규제중),ZA,20020828,20251223,"중국, 영국, 독일"
아프리카지역본부,유리거울(Unframed glass mirrors) ,700991,700991,2023-05-19,반덤핑(규제중),ZA,20061025,20221006,인도네시아
아프리카지역본부,유리거울(Unframed glass mirrors) ,700991,700991,2023-05-19,반덤핑(규제중),ZA,20061025,20271110,인도
아프리카지역본부,플로트판유리(Float and Flat glass),700529,"70049090,70052917,70052923,70052925,70052935",2023-05-19,반덤핑(규제중),ZA,19990528,20260408,"중국, 인도"
